"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-31","3.58"," 1626","0.00",,,,"72","44","  270","  270","13.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-01","4.92"," 1401","0.00",,,,"63","39","   70","  230","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-02","8.95"," 1017","0.00",,,,"82","47","   80","   80","25.1","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-03","5.82"," 1102","0.00",,,,"82","43","   60","   50","18.1","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-04","4.47"," 1407","0.00",,,,"81","40","  170","  180","15.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-05","6.49"," 1631","0.61",,,,"59","50","   60","  280","19.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-06","6.93"," 1419","0.48",,,,"58","49","  250","  200","17.0","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-07","5.59"," 0622","0.10",,,,"56","42","   80","   70","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-08","7.61"," 1356","0.00",,,,"60","41","  270","  260","21.0","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-09","10.07"," 1256","0.32",,,,"56","44","  260","  260","29.1","36.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-10","5.14"," 0224","0.00",,,,"57","35","  290","  290","19.9","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-11","4.70"," 1406","0.00",,,,"57","33","  270","  280","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-12","6.26"," 1337","0.00",,,,"58","36","  270","  270","23.9","29.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-13","2.91"," 1307","0.41",,,,"52","38","  300","  300","29.1","36.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-14","3.80"," 1438","0.00",,,,"55","34","  210","  240","10.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-15","5.37"," 0837","0.00",,,,"58","35","  200","  270","17.0","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-16","10.74"," 1336","0.87",,,,"59","45","  250","  260","23.9","31.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-17","4.92"," 0442","0.14",,,,"57","45","  190","  140","14.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-18","4.25"," 1318","0.00",,,,"65","39","   90","   50","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-19","11.41"," 1125","0.00",,,,"71","45","   80","   80","25.9","31.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-20","4.47"," 1428","0.00",,,,"73","41","  280","  270","17.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-21","2.91"," 2043","0.00",,,,"65","42","   60","   60","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-22","3.36"," 1219","0.00",,,,"67","52","  320","  320","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-23","4.92"," 2323","0.00",,,,"70","49","   70","  150","16.1","59.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-24","3.36"," 1303","0.00",,,,"64","41","  240","  280","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-25","4.92"," 1310","0.00",,,,"63","49","  210","  220","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-26","3.80"," 1434","0.00",,,,"65","42","  260","  320","13.0","29.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-27","3.36"," 1439","0.00",,,,"66","47","  230","  220","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-02-28","7.61"," 1039","0.00",,,,"80","44","   80","   80","23.9","29.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-01","5.14"," 1105","0.00",,,,"74","46","  280","  280","23.0","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-02","2.68"," 1829","0.00",,,,"62","52","  280","  280","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-03","3.80"," 1514","0.00",,,,"64","50","  230","  220","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-04","7.16"," 1444","0.26",,,,"61","45","  280","  230","19.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-05","4.47"," 1643","0.00",,,,"59","36","  280","  280","18.1","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-06","5.59"," 1513","0.00",,,,"60","38","  270","  260","19.9","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-07","5.14"," 1246","0.00",,,,"63","39","  220","  210","15.0","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-08","4.92"," 1257","0.00",,,,"62","39","  210","  210","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-09","4.03"," 1434","0.00",,,,"60","48","  230","  210","13.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-10","5.82"," 1214","0.00",,,,"61","40","  220","  230","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-11","3.80"," 1233","0.00",,,,"59","39","  220","  220","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-12","4.25"," 1417","0.00",,,,"62","46","  270","  260","15.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-13","4.92"," 1407","0.00",,,,"63","39","  270","  250","12.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-14","5.82"," 1418","0.00",,,,"62","49","  260","  240","16.1","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-15","5.59"," 1601","0.00",,,,"62","46","  200","  230","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-16","3.13"," 0030","0.00",,,,"65","42","  260","   60","12.1","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-17","2.91"," 1243","0.00",,,,"74","45","  240","  240","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-18","4.25"," 1245","0.00",,,,"75","46","  270","  210","10.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-19","3.36"," 1518","0.00",,,,"65","48","  240","  210","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-20","4.03"," 1448","0.00",,,,"62","52","  220","  300","14.1","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-21","6.49"," 2003","0.00",,,,"59","53","  260","  270","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-22","17.90"," 1252","0.03",,,,"61","42","  280","  280","38.0","44.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-23","4.70"," 1027","0.00",,,,"64","35","  280","  220","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-24","7.38"," 1003","0.00",,,,"75","37","   60","   50","23.0","33.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-25","3.58"," 0712","0.00",,,,"72","41","  220","  330","14.1","28.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-26","4.25"," 1155","0.00",,,,"67","42","  230","  310","12.1","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-27","8.50"," 0949","0.00",,,,"79","44","   80","   50","28.0","35.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-28","4.47"," 1033","0.00",,,,"74","43","  240","  320","13.0","29.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-29","3.80"," 1212","0.00",,,,"62","47","  220","  210","14.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-30","8.95"," 0918","0.00",,,,"72","46","   70","   70","29.1","38.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-03-31","3.58"," 1221","0.00",,,,"68","38","  220","  180","14.1","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-01","4.25"," 1243","0.00",,,,"65","44","  220","  220","16.1","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-02","4.70"," 0818","0.00",,,,"62","45","  280","  220","14.1","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-03","7.61"," 1607","0.00",,,,"66","47","  270","  270","29.1","33.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-04","5.82"," 1247","0.00",,,,"68","39","  210","  250","16.1","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-05","9.17"," 1012","0.00",,,,"81","42","   70","   70","23.9","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-06","6.71"," 0834","0.00",,,,"76","44","   80","   70","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-07","4.03"," 1211","0.01",,,,"65","43","  200","  220","15.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-08","8.95"," 1600","0.00",,,,"64","44","  270","  290","25.1","31.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-09","5.82"," 1415","0.00",,,,"65","42","  220","  230","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-10","5.14"," 1606","0.00",,,,"61","45","  280","  280","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-11","5.59"," 1244","0.00",,,,"65","41","  260","  210","15.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-12","4.47"," 1141","0.00",,,,"66","42","  260","  230","14.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-13","3.80"," 1332","0.00",,,,"73","46","  240","  240","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-14","13.87"," 1613","0.00",,,,"64","48","  260","  260","40.0","51.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-15","15.21"," 1524","0.00",,,,"61","41","  280","  280","36.9","46.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-16","5.37"," 1439","0.00",,,,"65","36","  260","  260","19.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-17","4.47"," 1436","0.00",,,,"69","40","  270","  260","16.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-18","3.58"," 1446","0.00",,,,"75","44","  270","  300","13.0","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-19","5.37"," 1058","0.00",,,,"96","48","   50","   70","23.9","32.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-20","6.04"," 0912","0.00",,,,"96","53","   70","   60","17.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-21",," 1137","0.00",,,,"87","55","  200","  240","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-22",," 1423","0.00",,,,"66","55","  230","  210","15.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-23","5.82"," 1424","0.00",,,,"65","54","  230","  210","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-24","5.82"," 2345","0.00",,,,"63","51","  270","  200","15.0","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-25","6.71"," 1539","0.00",,,,"67","43","  260","  250","21.9","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-26","5.37"," 1524","0.00",,,,"63","44","  260","  270","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-27","6.04"," 1418","0.00",,,,"64","44","  270","  250","17.0","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-28","6.93"," 1423","0.00",,,,"63","45","  230","  230","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-29","5.82"," 1258","0.00",,,,"63","42","  200","  230","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-04-30","4.70"," 1417","0.00",,,,"67","45","  230","  230","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-01","7.16"," 1713","0.00",,,,"72","49","  270","  270","32.0","38.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-02","7.61"," 1124","0.00",,,,"67","54","  270","  260","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-03","5.14"," 1547","0.00",,,,"71","53","  220","  230","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-04","4.47"," 0850","0.00",,,,"71","52","  260","  320","14.1","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-05","4.25"," 1416","0.00",,,,"73","52","  280","  260","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-06","4.47"," 1506","0.00",,,,"82","53","  230","  220","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-07","3.58"," 1359","0.00",,,,"84","52","  270","  270","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-08","5.14"," 1305","0.00",,,,"77","51","  230","  210","13.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-09","4.25"," 1116","0.00",,,,"68","54","  220","  220","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-10","3.80"," 1506","0.00",,,,"66","54","  270","  260","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-11","3.58"," 1409","0.00",,,,"65","52","  270","  260","12.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-12","3.36"," 1336","0.00",,,,"68","53","  230","  230","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-13","4.47"," 1326","0.00",,,,"70","49","  220","  220","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-14","4.92"," 1419","0.00",,,,"73","48","  210","  220","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-15","4.25"," 1213","0.00",,,,"71","52","  230","  220","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-16","4.25"," 1453","0.00",,,,"70","60","  220","  220","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-17","4.92"," 1301","0.00",,,,"71","58","  240","  240","12.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-18","4.25"," 1555","0.00",,,,"68","57","  270","  280","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-19","4.92"," 1436","0.00",,,,"68","55","  260","  230","13.0","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-20","3.80"," 1129","0.00",,,,"71","54","  230","  230","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-21","4.92"," 1331","0.00",,,,"70","53","  220","  210","15.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-22","4.03"," 1419","0.00",,,,"69","55","  240","  230","14.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-23","4.92"," 1652","0.00",,,,"68","54","  270","  270","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-24","4.70"," 1523","0.00",,,,"67","51","  260","  260","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-25","5.14"," 1508","0.00",,,,"68","54","  270","  260","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-26","4.25"," 1441","0.00",,,,"68","48","  230","  250","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-27","4.25"," 1324","0.00",,,,"69","55","  270","  190","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-28","4.70"," 1345","0.00",,,,"68","58","  240","  240","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-29","4.03"," 1221","0.00",,,,"65","58","  260","  250","10.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-30","7.16"," 1814","0.00",,,,"65","58","  280","  290","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-05-31","4.92"," 1517","0.00",,,,"69","58","  270","  250","14.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-01","4.70"," 1618","0.00",,,,"67","58","  280","  280","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-02","5.14"," 1357","0.00",,,,"71","58","  230","  230","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-03","4.03"," 1520","0.00",,,,"69","57","  230","  220","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-04","5.82"," 1431","0.00",,,,"71","56","  260","  240","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-05","6.26"," 1054","0.06",,,,"68","56","  200","  200","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-06","6.93"," 1316","0.00",,,,"70","57","  220","  220","16.1","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-07","5.59"," 1430","0.00",,,,"70","57","  220","  230","17.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-08","4.03"," 1441","0.00",,,,"69","57","  260","  260","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-09","4.92"," 1428","0.00",,,,"69","56","  270","  250","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-10","5.59"," 2258","0.00",,,,"70","55","  270","  260","13.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-11","4.92"," 0318","0.00",,,,"70","57","  220","  270","15.0","104.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-12","4.25"," 2315","0.00",,,,"70","56","  220","  240","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-13","6.04"," 1414","0.00",,,,"73","60","  260","  210","16.1","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-14","6.71"," 1321","0.00",,,,"72","55","  220","  230","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-15","6.04"," 1210","0.00",,,,"71","56","  200","  200","21.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-16","5.82"," 1319","0.00",,,,"72","56","  230","  230","15.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-17","4.92"," 0227","0.00",,,,"71","55","  240","  270","14.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-18","5.14"," 1540","0.00",,,,"74","54","  230","  270","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-19","5.14"," 1142","0.00",,,,"71","60","  220","  240","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-20","7.83"," 1503","0.00",,,,"72","57","  260","  260","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-21","6.26"," 1513","0.00",,,,"72","56","  260","  260","21.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-22","5.14"," 2254","0.00",,,,"71","51","  240","  210","15.0","28.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-23","5.37"," 0006","0.00",,,,"70","55","  230","  330","21.9","59.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-24","5.14"," 0111","0.00",,,,"71","60","  230","  210","15.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-25","4.47"," 1545","0.00",,,,"69","59","  270","  260","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-26","4.25"," 1050","0.00",,,,"71","58","  220","  220","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-27","4.70"," 1412","0.00",,,,"75","54","  210","  230","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-28","3.80"," 1452","0.00",,,,"73","58","  260","  270","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-29","5.82"," 1305","0.00",,,,"71","58","  220","  220","19.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-06-30","5.82"," 0210","0.00",,,,"70","57","  270","  300","13.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-01","4.92"," 1533","0.00",,,,"72","56","  270","  280","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-02","4.92"," 1531","0.00",,,,"72","58","  260","  250","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-03","5.59"," 1529","0.00",,,,"71","56","  260","  260","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-04","5.14"," 1544","0.00",,,,"72","55","  260","  250","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-05","4.92"," 1357","0.00",,,,"72","55","  260","  260","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-06","3.80"," 1404","0.00",,,,"75","53","  250","  260","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-07","4.70"," 1324","0.00",,,,"73","55","  260","  250","14.1","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-08","4.70"," 1404","0.00",,,,"74","54","  260","  260","14.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-09","4.47"," 1358","0.00",,,,"74","55","  260","  260","13.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-10","3.80"," 1232","0.00",,,,"77","53","  270","  260","12.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-11","4.03"," 1403","0.00",,,,"80","56","  260","  260","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-12","4.70"," 1130","0.00",,,,"81","56","  270","  260","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-13","4.70"," 1158","0.00",,,,"81","58","  260","  210","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-14","4.70"," 1139","0.00",,,,"77","57","  260","  230","13.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-15",," 1349","0.00",,,,"75","60","  240","  220","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-16","5.14"," 1523","0.00",,,,"76","59","  260","  260","12.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-17","4.92"," 1217","0.00",,,,"75","58","  280","  250","13.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-18","4.03"," 1251","0.00",,,,"78","58","  260","  260","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-19","4.70"," 1446","0.00",,,,"81","60","  230","  230","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-20","4.92"," 1348","0.00",,,,"81","61","  270","  280","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-21","4.92"," 1144","0.00",,,,"80","60","  270","  270","13.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-07-22","4.03"," 1432","0.00",,,,"80","57","  260","  270","13.0","16.1"
