"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-16","4.70"," 1110"," 1115","0.00",,,"63","69","56","  210","  210","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-17","15.21"," 0843"," 0737","0.01",,,"69","87","51","   60","   60","38.9","48.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-18",," 1331"," 1350","0.00",,,"68","85","50","  250","  240","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-19","3.80"," 1328"," 1327","0.00",,,"62","79","45","  270","  270","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-20","4.70"," 1036"," 1045","0.00",,,"73","95","51","   50","   70","17.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-21","4.70"," 1027"," 1413","0.00",,,"66","81","51","  230","  260","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-22","3.58"," 1336"," 1335","0.01",,,"64","82","46","  230","  220","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-23","3.36"," 1214"," 1150","0.00",,,"61","74","48","  230","  240","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-24","3.13"," 1451"," 1500","0.00",,,"63","78","47","  250","  250","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-25","4.03"," 1200"," 1240","0.00",,,"62","75","49","  260","  220","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-26","3.36"," 1153"," 1151","0.00",,,"59","69","49","  250","  250","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-27","3.58"," 2227"," 2223","0.00",,,"60","66","54","  310","  300","6.9","8.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-28","3.80"," 1349"," 1348","0.00",,,"60","68","51","  210","  210","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-29","10.29"," 1030"," 1025","0.00",,,"68","89","47","   60","   50","30.0","36.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-30","13.42"," 0853"," 0853","0.00",,,"73","92","53","   70","   60","28.0","32.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-31","4.03"," 1214"," 1213","0.00",,,"69","89","49","  260","  260","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-01","3.80"," 1308"," 1307","0.00",,,"65","80","50","  240","  250","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-02","3.13"," 1309"," 1156","0.00",,,"58","69","47","  260","  240","10.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-03","4.03"," 1340"," 1254","0.00",,,"57","68","46","  260","  240","12.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-04","4.47"," 1301"," 1306","0.00",,,"56","68","44","  220","  230","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-05","4.70"," 1400"," 1359","0.00",,,"61","68","54","  200","  220","14.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-06","5.59"," 1339"," 1339","0.00",,,"58","66","50","  210","  210","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-07","7.16"," 1255"," 1303","0.00",,,"60","69","50","  200","  200","17.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-08","7.38"," 0203"," 0202","0.90",,,"59","65","53","  240","  230","21.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-09","4.47"," 1251"," 1157","0.01",,,"58","69","47","  210","  210","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-10","4.70"," 1233"," 1231","0.01",,,"58","69","47","  220","  220","10.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-11","3.58"," 1402"," 1428","0.01",,,"58","70","45","  270","  270","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-12","3.58"," 2029"," 2029","0.01",,,"54","63","44","  260","  260","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-13","3.36"," 0453"," 0453","0.01",,,"57","67","46","  260","  260","13.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-14","4.25"," 2359"," 2354","0.00",,,"59","65","53","   60","   60","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-15","5.59"," 0004"," 0003","0.01",,,"61","70","52","   60","   60","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-16","5.14"," 1823"," 1822","0.00",,,"59","68","50","  270","  270","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-17","5.82"," 1538"," 1537","0.02",,,"58","67","49","  270","  270","21.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-18","5.82"," 1308"," 1308","0.00",,,"56","66","45","  210","  200","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-19","4.47"," 1355"," 0933","0.00",,,"55","65","44","  210","   50","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-20","4.03"," 1414"," 1413","0.16",,,"57","63","50","  220","  220","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-21","6.04"," 1600"," 1606","0.00",,,"57","70","43","  320","  320","25.1","31.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-22","11.18"," 1042"," 1041","0.01",,,"55","69","41","   60","   60","31.1","34.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-23","3.58"," 1231"," 1231","0.00",,,"53","67","38","  250","  250","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-24","8.28"," 1411"," 1411","0.00",,,"59","76","42","   70","   70","21.0","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-25","7.61"," 0843"," 0906","0.00",,,"62","79","45","   50","   60","21.9","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-26","3.36"," 1227"," 1226","0.00",,,"57","71","43","  230","  240","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-27","4.03"," 1330"," 1305","0.00",,,"56","66","45","  250","  240","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-28","3.36"," 1358"," 1411","0.00",,,"54","64","43","  220","  220","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-29","2.91"," 1219"," 1301","0.00",,,"56","68","44","  250","  260","14.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-11-30","5.14"," 1515"," 1538","0.00",,,"58","68","47","  250","  250","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-01","3.36"," 1435"," 1424","0.00",,,"57","67","46","  260","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-02","5.59"," 1227"," 1255","0.00",,,"54","67","40","  240","  240","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-03","20.36"," 2215"," 2214","0.00",,,"55","68","41","   60","   70","36.0","45.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-04","17.45"," 0540"," 0540","0.00",,,"58","71","45","   60","   50","36.9","44.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-05","4.03"," 1527"," 1529","0.00",,,"56","70","41","  250","  250","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-06","3.58"," 1312"," 1319","0.00",,,"53","69","37","  240","  250","13.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-07","4.92"," 1403"," 1405","0.00",,,"52","66","38","  230","  240","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-08","11.63"," 1304"," 1219","0.00",,,"54","68","39","   60","   60","31.1","38.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-09","4.70"," 1730"," 1730","0.00",,,"54","65","42","  250","  250","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-10","5.37"," 1200"," 1200","0.00",,,"51","65","37","  290","  290","17.9","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-11","11.41"," 0901"," 0957","0.00",,,"53","70","36","   60","   60","25.9","31.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-12","4.70"," 1528"," 1527","0.00",,,"54","68","40","  210","  220","13.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-13","4.25"," 2205"," 1321","0.00",,,"48","60","35","   60","  170","10.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-14","14.99"," 1446"," 2237","0.00",,,"53","69","37","   60","   70","29.1","34.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-15","16.55"," 0631"," 0545","0.04",,,"66","76","56","   60","   60","32.0","40.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-16","6.04"," 0415"," 0415","0.00",,,"63","78","47","   60","   60","17.9","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-17","2.91"," 1301"," 1324","0.00",,,"60","75","45","  230","  230","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-18","3.36"," 1242"," 1235","0.00",,,"57","72","42","  240","  220","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-19","16.33"," 2211"," 2153","0.00",,,"61","82","39","   70","   60","33.1","40.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-20","10.96"," 1242"," 0048","0.00",,,"69","84","54","   70","   70","21.0","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-21","9.17"," 2253"," 2252","0.00",,,"59","72","46","   60","   60","34.9","40.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-22","17.67"," 0927"," 0926","0.00",,,"65","74","55","   60","   60","36.0","44.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-23","16.11"," 1205"," 1351","0.00",,,"67","78","55","   60","   70","32.0","40.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-24","13.65"," 0956"," 1148","0.00",,,"61","77","45","   40","   50","34.9","38.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-25","11.41"," 1254"," 1252","0.00",,,"65","79","50","   60","   60","25.1","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-26","6.93"," 1059"," 1058","0.00",,,"60","76","43","   70","   60","17.0","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-27","16.11"," 0958"," 1026","0.00",,,"66","76","55","   60","   60","31.1","36.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-28","8.28"," 1030"," 1029","0.00",,,"63","79","47","   60","   60","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-29","2.91"," 1506"," 1436","0.00",,,"54","67","40","  220","  220","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-30","4.03"," 1238"," 1237","0.00",,,"51","65","37","  220","  230","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-12-31","5.14"," 1509"," 1509","0.00",,,"51","59","43","  260","  260","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-01","6.26"," 1926"," 1926","0.00",,,"48","59","37","  270","  270","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-02","7.16"," 1836"," 1836","0.00",,,"50","61","38","   60","   50","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-03","2.91"," 1304"," 1303","0.00",,,"52","67","36","  220","  210","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-04","3.58"," 1344"," 1322","0.00",,,"54","68","39","  240","  250","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-05","11.18"," 1726"," 1717","0.00",,,"56","75","36","   60","   50","29.1","34.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-06","17.67"," 0500"," 0458","0.00",,,"58","74","42","   70","   80","38.0","44.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-07","2.91"," 1531"," 1524","0.00",,,"50","64","36","  240","  250","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-08","3.36"," 1513"," 1322","0.00",,,"51","68","33","  270","  250","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-09","3.13"," 0635"," 1400","0.00",,,"49","63","35","   60","  240","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-10","4.03"," 1330"," 1327","0.00",,,"51","64","37","  220","  230","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-11","6.04"," 1651"," 1650","0.00",,,"52","64","40","  240","  240","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-12","4.70"," 1435"," 1508","0.03",,,"56","63","48","  210","  200","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-13","3.13"," 1348"," 1347","0.00",,,"56","72","40","  250","  250","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-14","2.91"," 1653"," 1652","0.00",,,"58","72","43","  280","  280","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-15","4.03"," 1909"," 1909","0.02",,,"61","72","50","  290","  280","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-16","4.25"," 0438"," 0329","0.04",,,"60","65","54","   50","   50","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-17","2.91"," 1623"," 1623","0.16",,,"58","62","54","  300","  300","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-18","4.03"," 1222"," 1221","0.00",,,"62","71","52","  250","  250","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-19","4.25"," 1519"," 1519","0.01",,,"60","71","48","  260","  260","21.0","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-20","4.03"," 1416"," 1415","0.00",,,"58","65","51","  250","  250","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-21","4.25"," 1401"," 1442","0.00",,,"56","62","50","  220","  240","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-22","2.46"," 1456"," 1341","0.00",,,"53","60","45","  220","  230","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-23","3.80"," 2154"," 2146","0.02",,,"54","60","47","   40","   50","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-24","4.47"," 0139"," 0139","0.07",,,"61","69","53","   50","   40","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-25","6.71"," 1543"," 1543","0.90",,,"56","61","51","  290","  290","12.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-26","4.70"," 1500"," 1449","0.01",,,"53","62","44","  270","  270","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-27","3.58"," 1350"," 1507","0.00",,,"52","64","39","  260","  270","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-28","4.47"," 1145"," 1156","0.00",,,"55","71","39","   50","   60","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-29","5.59"," 1424"," 1425","0.01",,,"55","66","43","  200","  200","19.9","21.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-30","3.36"," 0939"," 0938","0.43",,,"53","57","49","   60","   50","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-01-31","3.58"," 1334"," 1332","0.01",,,"57","64","50","  250","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-01","3.80"," 1202"," 1227","0.00",,,"58","71","44","  240","  260","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-02","10.96"," 1008"," 1036","0.00",,,"66","80","51","   60","   50","23.0","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-03","7.83"," 1452"," 1450","0.00",,,"59","74","44","  190","  200","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-04","5.59"," 0623"," 0622","0.01",,,"58","65","51","   60","   60","17.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-05","5.14"," 1218"," 1217","0.00",,,"57","65","49","  240","  230","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-06","4.92"," 1652"," 1651","0.00",,,"54","66","42","  260","  260","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-07","5.59"," 1306"," 2018","0.01",,,"58","70","45","  270","  300","16.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-08","4.25"," 2241"," 2241","0.00",,,"60","69","50","  250","  260","21.9","34.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-09","5.59"," 1323"," 1322","0.01",,,"57","63","50","  260","  270","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-10","6.93"," 1115"," 1115","0.38",,,"55","59","51","  190","  190","21.0","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-11","3.80"," 2357"," 2356","0.20",,,"53","59","47","  170","  180","16.1","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-12","8.28"," 0134"," 0118","0.42",,,"55","60","50","  200","  200","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-13","4.70"," 2135"," 2030","0.48",,,"55","57","53","   40","   30","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-14","4.70"," 1443"," 1440","0.04",,,"60","63","56","  210","  220","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-15","3.80"," 1357"," 1255","0.00",,,"57","63","50","  210","  190","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-16","6.49"," 1809"," 1808","0.30",,,"52","56","48","  300","  290","30.0","34.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-17","5.82"," 1623"," 1541","0.00",,,"50","60","40","  270","  270","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-18","6.04"," 2354"," 2359","0.00",,,"58","70","46","   60","   70","21.0","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-19","13.42"," 1023"," 1015","0.00",,,"66","75","57","   60","   50","25.1","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-20","13.20"," 1659"," 1659","0.85",,,"57","63","50","  150","  150","28.0","38.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-21","9.62"," 0821"," 0821","0.48",,,"55","60","49","   70","   70","21.9","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-22","4.47"," 1528"," 1526","0.00",,,"54","58","49","  190","  200","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-23","10.74"," 1640"," 1643","1.05",,,"51","58","44","  260","  260","28.0","33.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-24","6.93"," 1551"," 1550","0.00",,,"47","57","36","  270","  270","21.9","23.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-25","5.59"," 0754"," 0737","0.00",,,"52","58","46","   50","   50","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-26","4.03"," 1431"," 1248","0.01",,,"53","63","42","  260","  210","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-27","7.61"," 1632"," 1553","0.43",,,"53","59","46","  270","  270","21.9","25.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-28","5.37"," 1410"," 1404","0.00",,,"51","62","40","  250","  230","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-02-29","5.14"," 1648"," 1629","0.00",,,"52","59","44","  260","  260","17.9","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-01","5.59"," 1258"," 1140","0.01",,,"53","63","42","  250","  250","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-02","5.59"," 1334"," 1336","0.00",,,"53","64","41","  250","  250","17.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-03","7.61"," 0844"," 0844","0.22",,,"56","61","51","   80","   70","17.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-04","4.25"," 1559"," 1554","0.11",,,"52","59","45","  230","  240","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-05","12.97"," 1621"," 1617","0.73",,,"49","55","43","  270","  260","38.0","45.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-06","8.50"," 1112"," 1111","0.42",,,"48","54","42","   60","   50","19.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-07","5.59"," 1309"," 1313","0.01",,,"49","59","39","  190","  180","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-08","6.71"," 1535"," 1512","0.36",,,"55","59","50","  270","  270","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-09","5.82"," 1604"," 1541","0.00",,,"52","60","44","  250","  260","16.1","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-10","5.82"," 1431"," 1429","0.01",,,"55","67","42","  260","  260","17.9","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-11","5.37"," 1544"," 1244","0.00",,,"60","74","45","  250","  270","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-12","4.70"," 1417"," 1405","0.00",,,"57","69","44","  240","  250","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-13","4.25"," 1405"," 1404","0.00",,,"56","65","47","  200","  190","12.1","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-14","3.36"," 1247"," 1509","0.02",,,"59","70","48","  210","  200","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-15","4.70"," 1346"," 1316","0.01",,,"57","63","51","  220","  220","13.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-16","3.80"," 1111"," 1025","0.00",,,"58","64","52","  270","  270","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-17","4.70"," 1406"," 1403","0.00",,,"62","71","53","  260","  260","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-18","4.25"," 1447"," 1136","0.00",,,"60","72","48","  210","  230","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-19","4.70"," 1735"," 1321","0.00",,,"59","70","48","  240","  240","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-20","11.63"," 1118"," 0949","0.00",,,"60","72","47","   40","   60","30.0","38.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-21","9.62"," 1549"," 1141","0.00",,,"58","71","45","  260","  270","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-22","6.04"," 1657"," 1708","0.00",,,"55","70","40","  270","  270","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-23","5.59"," 1400"," 1322","0.00",,,"55","67","43","  210","  210","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-24","4.70"," 1426"," 1413","0.00",,,"56","65","47","  250","  240","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-25","6.26"," 1809"," 1507","0.00",,,"56","63","48","  260","  230","14.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-26","6.04"," 1509"," 1047","0.00",,,"55","67","43","  220","  200","13.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-27","5.82"," 1215"," 1234","0.00",,,"57","65","48","  260","  250","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-28","5.82"," 1257"," 1502","0.00",,,"57","64","49","  200","  210","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-29","5.14"," 1442"," 1435","0.00",,,"56","64","47","  220","  250","14.1","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-30","4.03"," 1219"," 1508","0.00",,,"54","65","43","  220","  250","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-03-31","10.74"," 0851"," 0946","0.00",,,"64","81","47","   70","   70","25.1","30.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-04-01","7.61"," 1421"," 1419","0.00",,,"66","85","47","  270","  270","21.0","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-04-02","5.37"," 1448"," 1448","0.00",,,"60","75","45","  220","  220","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-04-03","5.14"," 1442"," 1442","0.00",,,"59","70","47","  210","  220","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2000-04-04","5.37"," 1604"," 1326","0.00",,,"59","66","51","  260","  250","15.0","17.9"
